F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       <1>       0  0  80   0 - 42006 -      ?        00:00:04 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 I     0       3       2  0  60 -20 -     0 -      ?        00:00:00 rcu_gp
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 rcu_par_gp
1 I     0       6       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-kblockd
1 I     0       8       2  0  60 -20 -     0 -      ?        00:00:00 mm_percpu_wq
1 S     0       9       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/0
1 I     0      10       2  0  80   0 -     0 -      ?        00:00:11 rcu_sched
1 S     0      11       2  0 -40   - -     0 -      ?        00:00:00 migration/0
5 S     0      12       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      14       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
1 S     0      15       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/1
5 S     0      16       2  0   9   - -     0 -      ?        00:00:00 idle_inject/1
1 S     0      17       2  0 -40   - -     0 -      ?        00:00:02 migration/1
1 S     0      18       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/1
1 I     0      20       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H
1 S     0      21       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/2
5 S     0      22       2  0   9   - -     0 -      ?        00:00:00 idle_inject/2
1 S     0      23       2  0 -40   - -     0 -      ?        00:00:02 migration/2
1 S     0      24       2  0  80   0 -     0 -      ?        00:00:02 ksoftirqd/2
1 I     0      26       2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:0H-kblockd
1 S     0      27       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/3
5 S     0      28       2  0   9   - -     0 -      ?        00:00:00 idle_inject/3
1 S     0      29       2  0 -40   - -     0 -      ?        00:00:00 migration/3
1 S     0      30       2  0  80   0 -     0 -      ?        00:00:03 ksoftirqd/3
1 I     0      32       2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:0H-kblockd
5 S     0      33       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0      34       2  0  60 -20 -     0 -      ?        00:00:00 netns
1 S     0      35       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_kthre
1 S     0      36       2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0      37       2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0      38       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0      39       2  0  60 -20 -     0 -      ?        00:00:00 writeback
1 S     0      40       2  0  80   0 -     0 -      ?        00:00:00 kcompactd0
1 S     0      41       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0      42       2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 I     0     136       2  0  60 -20 -     0 -      ?        00:00:00 kintegrityd
